CensusTractName,geoid
Census_Tract_One,42039110800
Census_Tract_Two,42039110300
Census_Tract_Three,42039111900
Census_Tract_Four,42039110502
Census_Tract_Five,42039111600
Census_Tract_Six,42039111500
Census_Tract_Seven,42039111400
Census_Tract_Eight,42039110202
Census_Tract_Nine,42039111800
Census_Tract_Ten,42039110900
Census_Tract_Eleven,42039110100
Census_Tract_Twelve,42039111200
Census_Tract_Thirteen,42039111100
Census_Tract_Fourteen,42039110400
Census_Tract_Fifteen,42039110501
Census_Tract_Sixteen,42039110600
Census_Tract_Seventeen,42039110201
Census_Tract_Eighteen,42039110700
Census_Tract_Nineteen,42039111700
Census_Tract_Twenty,42039111300
Census_Tract_TwentyOne,42039112002
Census_Tract_TwentyTwo,42039112001
Census_Tract_TwentyThree,42039111000
